UK000070765,20150228,TAVG,54,H,,S,
UK000070765,20150301,TMAX,52,,,E,
UK000070765,20150301,TMIN,27,,,E,
UK000070765,20150301,PRCP,10,,,E,
UK000070765,20150301,TAVG,40,H,,S,
UK000070765,20150302,TMAX,50,,,E,
UK000070765,20150302,TMIN,7,,,E,
UK000070765,20150302,PRCP,0,,,E,
UK000070765,20150302,TAVG,16,H,,S,
UK000070765,20150303,TMAX,92,,,E,
UK000070765,20150303,TMIN,-7,,,E,
UK000070765,20150303,PRCP,56,,,E,
UK000070765,20150303,TAVG,13,H,,S,
UK000070765,20150304,TMAX,113,,,E,
UK000070765,20150304,TMIN,13,,,E,
UK000070765,20150304,PRCP,2,,,E,
UK000070765,20150304,TAVG,39,H,,S,
UK000070765,20150305,TMAX,102,,,E,
UK000070765,20150305,TMIN,29,,,E,
UK000070765,20150305,PRCP,6,,,E,
UK000070765,20150305,TAVG,68,H,,S,
UK000070765,20150306,TMAX,127,,,E,
UK000070765,20150306,TMIN,38,,,E,
UK000070765,20150306,PRCP,2,,,E,
UK000070765,20150306,TAVG,66,H,,S,
UK000070765,20150307,TMAX,86,,,E,
UK000070765,20150307,TMIN,73,,,E,
UK000070765,20150307,PRCP,2,,,E,
UK000070765,20150307,TAVG,92,H,,S,
UK000070765,20150308,TMAX,87,,,E,
UK000070765,20150308,TMIN,45,,,E,
UK000070765,20150308,PRCP,6,,,E,
UK000070765,20150308,TAVG,47,H,,S,
UK000070765,20150309,TMAX,84,,,E,
UK000070765,20150309,TMIN,22,,,E,
UK000070765,20150309,PRCP,44,,,E,
UK000070765,20150309,TAVG,44,H,,S,
UK000070765,20150310,TMAX,72,,,E,
UK000070765,20150310,TMIN,29,,,E,
UK000070765,20150310,PRCP,6,,,E,
UK000070765,20150310,TAVG,43,H,,S,
UK000070765,20150311,TMAX,80,,,E,
UK000070765,20150311,TMIN,31,,,E,
UK000070765,20150311,PRCP,16,,,E,
UK000070765,20150311,TAVG,43,H,,S,
UK000070765,20150312,TMAX,93,,,E,
UK000070765,20150312,TMIN,11,,,E,
UK000070765,20150312,PRCP,38,,,E,
UK000070765,20150312,TAVG,49,H,,S,
UK000070765,20150313,TMAX,60,,,E,
UK000070765,20150313,TMIN,40,,,E,
UK000070765,20150313,PRCP,0,,,E,
UK000070765,20150313,TAVG,54,H,,S,
UK000070765,20150314,TMAX,79,,,E,
UK000070765,20150314,TMIN,41,,,E,
UK000070765,20150314,PRCP,0,,,E,
UK000070765,20150314,TAVG,43,H,,S,
UK000070765,20150315,TMAX,76,,,E,
UK000070765,20150315,TMIN,35,,,E,
UK000070765,20150315,PRCP,0,,,E,
UK000070765,20150315,TAVG,48,H,,S,
UK000070765,20150316,TMAX,76,,,E,
UK000070765,20150316,TMIN,52,,,E,
UK000070765,20150316,PRCP,0,,,E,
UK000070765,20150316,TAVG,52,H,,S,
UK000070765,20150317,TMAX,96,,,E,
UK000070765,20150317,TMIN,58,,,E,
UK000070765,20150317,PRCP,0,,,E,
UK000070765,20150317,TAVG,54,H,,S,
UK000070765,20150318,TMAX,116,,,E,
UK000070765,20150318,TMIN,-13,,,E,
UK000070765,20150318,PRCP,2,,,E,
UK000070765,20150318,TAVG,41,H,,S,
UK000070765,20150319,TMAX,89,,,E,
UK000070765,20150319,TMIN,48,,,E,
UK000070765,20150319,PRCP,8,,,E,
UK000070765,20150319,TAVG,71,H,,S,
UK000070765,20150320,TMAX,75,,,E,
UK000070765,20150320,TMIN,66,,,E,
UK000070765,20150320,PRCP,10,,,E,
UK000070765,20150320,TAVG,66,H,,S,
UK000070765,20150321,TMAX,83,,,E,
UK000070765,20150321,TMIN,26,,,E,
UK000070765,20150321,PRCP,48,,,E,
UK000070765,20150321,TAVG,46,H,,S,
UK000070765,20150322,TMAX,89,,,E,
UK000070765,20150322,TMIN,48,,,E,
UK000070765,20150322,PRCP,96,,,E,
